Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
263,Hypothyroidism,Fatigue,30,Weight gain,12,Too little hair,4,Muscle pain,3,Hot flashes,2,Leg cramps or spasms,2,Absence of menstruation,1,Poor circulation,1,Wrist swelling,1,Feeling cold,1,Thirst,"1""",,," , ,Hypothyroidism /?ha?p???a??r??d?z?m/ is a state in which the thyroid gland does not make enough thyroid hormone. , Source: Wikipedia,Patients with hypothyroidism often receive ",",Hematologic tests Blood test,Lipid panel,Glucose measurement Glucose level,Complete physical skin exam performed ML,Hemoglobin A1c measurement Hemoglobin a1c test,Examination of breast,Other diagnostic procedures interview evaluation consultation,Mammography Mammogram",",Thyroxine Synthroid,Thyroid Usp Armour Thyroid,Triiodothyronine Cytomel,Dofetilide Tikosyn,Pramlintide Symlin,Decitabine,Bifidobacterium Infantis Align,Interferon Alfacon 1 Infergen,Pentostatin,Azacitidine Vidaza,Sodium Hyaluronate Ophthalmic,Azatadine Optimine","75+,60-74",Unspecified,other
264,Primary insomnia,Insomnia,76,Abnormal breathing sounds,53,Fatigue,51,Apnea,40,Sleepiness,40,Headache,33,Anxiety and nervousness,33,Sleepwalking,33,Seizures,33,Neck pain,25,Abnormal involuntary movements,25,Delusions or hallucinations,"20"""," , ,Insomnia, or sleeplessness, is a sleep disorder in which there is an inability to fall asleep or to stay asleep as long as desired. While the term is sometimes used to describe a disorder demonstrated by polysomnographic evidence of disturbed sleep, insomnia is often practically defined as a positive response to either of two questions: ""Do you experience difficulty sleeping?"" or ""Do you have difficulty falling or staying asleep?"" , Source: Wikipedia,Patients with primary insomnia often receive ",",Other diagnostic procedures interview evaluation consultation,Psychotherapy,Mental health counseling,Depression screen Depression screening,Electroencephalogram EEG Eeg,Other therapeutic procedures on eyelids conjunctiva cornea,Blood alcohol,Psychological and psychiatric evaluation and therapy",",Zolpidem Ambien,Clonazepam,Melatonin,Memantine Namenda,Zinc Sulfate,Modafinil Provigil,Pramipexole Mirapex,Atomoxetine Strattera,Eszopiclone Lunesta,Eprosartan Teveten,Dihydroergotamine,Coal Tar Topical,Milnacipran Savella","5-14,1-4",Unspecified,other
265,Lice,Itchy scalp,49,Skin rash,49,Cough,39,Itching of skin,32,Smoking problems,24,Skin lesion,24,Fever,24,Nasal congestion,24,Warts,24,Skin oiliness,14,Leg lump or mass,14,Sneezing,"14"""," Also known as Pediculosis and Lice Infestation , , ,Louse (plural: lice) is the common name for members of over 3,000 species of wingless insects of the order Phthiraptera; three of which are classified as human disease agents. They are obligate ectoparasites of every avian and mammalian order except for monotremes (the platypus and echidnas), bats, whales, dolphins, porpoises and pangolins. , Source: Wikipedia,Patients with lice often receive ",",Complete physical skin exam performed ML,Culture wound,Excision of skin lesion,Incision and drainage I d,Ophthalmologic and otologic diagnosis and treatment",",Permethrin Topical,Lindane Topical,Piperonyl Butoxide Pyrethrins Topical,Triamcinolone,Malathion Topical,Nicotine,Piperonyl Butoxide Topical,Benzyl Alcohol Topical,Alclometasone Topical,Purified Protein Derivative Of Tuberculin Tubersol,Cefixime Suprax,Brinzolamide Ophthalmic",",,5-14,1-4",Unspecified,other
266,Vitamin B12 deficiency,Fatigue,36,Paresthesia,14,Disturbance of memory,14,Problems with movement,9,Sweating,6,Symptoms of the face,6,Heartburn,6,Hot flashes,6,Leg cramps or spasms,3,Abnormal appearing tongue,3,Too little hair,3,Knee stiffness or tightness,"3"""," Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency , , ,Vitamin B12 deficiency or hypocobalaminemia is a low blood level of vitamin B12. It can cause permanent damage to nervous tissue if left untreated longer than 6 months. Vitamin B12 itself was discovered through investigation of pernicious anemia, which is an autoimmune disease that destroys parietal cells in the stomach that secrete intrinsic factor. Pernicious anemia, if left untreated, is usually fatal within three years. Once identified, however, the condition can be treated successfully and with relative ease, although it cannot be cured and ongoing treatment is required. Humans obtain almost all of their vitamin B12 from dietary means. Pernicious anemia is usually the result of insufficient secretion of intrinsic factor within the stomach. Other more subtle types of vitamin B12 deficiency have been elucidated, including the biochemical effects, over the course of time in significant numbers. , Source: Wikipedia,Patients with vitamin b12 deficiency often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Lipid panel,Other therapeutic procedures,Hemoglobin A1c measurement Hemoglobin a1c test,Examination of breast,Magnetic resonance imaging Mri,Sigmoidoscopy or colonoscopy",",Vitamin B 12,Donepezil Aricept,Epoetin Alfa Procrit,Cholecalciferol,Darbepoetin Alfa Aranesp,Entacapone Comtan,Pyridostigmine Mestinon,Flecainide,Primidone,Azathioprine,Letrozole Femara","75+,60-74",Unspecified,other
267,Diabetes,Weight gain,7,Thirst,2,Symptoms of the kidneys,"1""",,,,,,,,,,,,,,,,,,," , ,Diabetes mellitus, or simply diabetes, is a group of metabolic diseases in which a person has high blood sugar, either because the pancreas does not produce enough insulin, or because cells do not respond to the insulin that is produced. This high blood sugar produces the classical symptoms of polyuria (frequent urination), polydipsia (increased thirst) and polyphagia (increased hunger). , Source: Wikipedia,Patients with diabetes often receive ",",Hematologic tests Blood test,Glucose measurement Glucose level,Hemoglobin A1c measurement Hemoglobin a1c test,Lipid panel,Complete physical skin exam performed ML,Wound care management,Examination of foot,Prostate specific antigen measurement Prostate specific antigen test",",Metformin,Insulin,Insulin Glargine Lantus,Glipizide,Insulin,,,Pioglitazone Actos,Glyburide,Glimepiride,Rosiglitazone Avandia,Quinapril,Sitagliptin Januvia,Exenatide Byetta","75+,60-74,45-59",Unspecified,other
268,Vulvodynia,Pelvic pain,76,Sharp abdominal pain,74,Lower abdominal pain,52,Pain during pregnancy,34,Nausea,25,Back pain,24,Vaginal pain,23,Side pain,22,Vaginal discharge,20,Burning abdominal pain,19,Painful urination,17,Cramps and spasms,"16"""," , ,Vulvodynia is a chronic pain syndrome that affects the vulvar area and often occurs without an identifiable cause or visible pathology categorized in the ICD-9 group 625specifically ICD-9 625.7, which is for pain and other disorders of the female genital organs. It refers to pain of the vulva unexplained by vulvar or vaginal infection or skin disease. , Source: Wikipedia,Patients with vulvodynia often receive ",",Urinalysis,Hematologic tests Blood test,Radiographic imaging procedure,Complete blood count Cbc,Pelvis exam,Standard pregnancy test,Kidney function tests Kidney function test,Glucose measurement Glucose level",",Norethindrone Loestrin Fe,Sevoflurane,Methylergonovine Methergine,Rocuronium,Mefenamic Acid,Mebendazole,Ceftriaxone Lidocaine,Methylene Blue,Tromethamine,Diphtheria Antitoxin,Tinidazole,Liraglutide Victoza,Corticotropin Acthar","30-44,15-29",female and,other
269,Endometriosis,Pelvic pain,67,Sharp abdominal pain,61,Lower abdominal pain,30,Painful menstruation,28,Heavy menstrual flow,20,Burning abdominal pain,18,Infertility,15,Intermenstrual bleeding,12,Hot flashes,10,Absence of menstruation,10,Vaginal pain,10,Chills,"10"""," Also known as Displaced endometrial tissue , , ,Endometriosis is a gynecological medical condition in which cells from the lining of the uterus (endometrium) appear and flourish outside the uterine cavity, most commonly on the membrane which lines the abdominal cavity. The uterine cavity is lined with endometrial cells, which are under the influence of female hormones. Endometrial-like cells in areas outside the uterus (endometriosis) are influenced by hormonal changes and respond in a way that is similar to the cells found inside the uterus. Symptoms often worsen with the menstrual cycle. , Source: Wikipedia,Patients with endometriosis often receive ",",Pelvis exam,Urinalysis,Ultrasonography Ultrasound,Standard pregnancy test,Examination of breast,Excision Removal,Rectal examination,Chlamydia test",",Leuprolide Lupron,Medroxyprogesterone,Portia,Clomiphene Clomid,Norethindrone Loestrin Fe,Progesterone,Human Chorionic Gonadotropin Hcg,Modicon,Rocuronium,Sevoflurane,Butorphanol Stadol","30-44,15-29",female and,other
270,Vasculitis,Skin rash,46,Skin lesion,38,Headache,35,Leg pain,30,Dizziness,25,Lymphedema,9,Foot or toe swelling,6,Plugged feeling in ear,6,Skin irritation,6,Swollen tongue,3,Leg lump or mass,3,Leg stiffness or tightness,"3"""," Also known as Angiitis , , ,Vasculitis (plural: vasculitides) is a group of disorders that destroy blood vessels by inflammation. Both arteries and veins are affected. Lymphangitis is sometimes considered a type of vasculitis. Vasculitis is primarily due to leukocyte migration and resultant damage. , Source: Wikipedia,Patients with vasculitis often receive ",",Complete physical skin exam performed ML,Wound care management,Ultrasonography Ultrasound,Other diagnostic procedures interview evaluation consultation,Lipid panel,Echocardiography,Hemoglobin A1c measurement Hemoglobin a1c test,Biopsy",",Methotrexate,Mycophenolate Mofetil Cellcept,Cyclophosphamide,Collagenase Topical,Raloxifene Evista,Hydroxychloroquine Plaquenil,Chloral Hydrate,Cyclosporine,Regadenoson Lexiscan,Cholestyramine Resin Questran,Salmeterol,Lidocaine Prilocaine Topical,Hydroxyurea","75+,60-74",Unspecified,other
271,Concussion,Headache,83,Dizziness,49,Neck pain,45,Vomiting,31,Disturbance of memory,30,Nausea,29,Back pain,28,Facial pain,15,Sleepiness,11,Rib pain,8,Double vision,6,Difficulty speaking,"5"""," Also known as Cerebral Concussion and Commotio Cerebri , , ,Concussion, from the Latin concutere (""to shake violently"") or concussus (""action of striking together""), is the most common type of traumatic brain injury. The terms mild brain injury, mild traumatic brain injury (MTBI), mild head injury (MHI), minor head trauma, and concussion may be used interchangeably, although the last is often treated as a narrower category. Although the term ""concussion"" is still used in sports literature as interchangeable with ""MHI"" or ""MTBI"", the general clinical medical literature now uses ""MTBI"" instead. In this article, ""concussion"" and ""MTBI"" are used interchangeably. Frequently defined as a head injury with a temporary loss of brain function, concussion causes a variety of physical, cognitive, and emotional symptoms, which may not be recognized if subtle. , Source: Wikipedia,Patients with concussion often receive ",",Radiographic imaging procedure,X ray computed tomography Scan ct,CAT scan of head Head ct,Plain x ray X ray,Intravenous fluid replacement,Suturing of wound,Cardiac monitoring Cardiac monitor,Blood alcohol",",Modafinil Provigil,Diphtheria Toxoid Vaccine Prohibit,Cefmetazole,Gadopentetate Dimeglumine Magnevist,Atracurium,Beractant Survanta,Etomidate,Factor Ix Complex Obsolete,Pancuronium,Pimozide Orap,Trifluoperazine Stelazine,Caffeine","5-14,15-29",Unspecified,other
272,Oral leukoplakia,Tongue lesions,73,Fever,45,Hemoptysis,45,Skin swelling,45,Gum pain,45,Mouth pain,45,Elbow cramps or spasms,3,Elbow weakness,3,Excessive growth,3,Underweight,3,Low back weakness,3,Wrist weakness,"3"""," Also known as Oral Keratosis , , ,Leukoplakia (also termed leucoplakia, leukokeratosis, leukoplasia, idiopathic leukoplakia, idiopathic keratosis, or idiopathic white patch), is a condition where areas of keratosis appear as adherent white patches on the mucous membranes of the oral cavity. Leukoplakia may affect other gastrointestinal tract mucosal sites, or mucosal surfaces of the urinary tract and genitals. When leukoplakia occurs in the mouth, it is sometimes termed oral leukoplakia, which is defined as ""a predominantly white lesion of the oral mucosa that cannot be characterized as any other definable lesion"". Leukoplakia literally means ""white patch"" and is a descriptive clinical term that is only correctly used once all other possible causes have been ruled out (a diagnosis of exclusion). As such, leukoplakia is not a specific disease entity, and the clinical and histologic appearance are variable, i.e. the term has no specific histologic implications. Leukoplakia may be confused with other common causes of white patches in the mouth, such as oral candidiasis or lichen planus. The lesions of leukoplakia cannot be rubbed off, as would be the case in pseudomembraneous candidiasis (oral thrush). , Source: Wikipedia,Patients with oral leukoplakia often receive ",",Biopsy,Other OR therapeutic procedures on nose mouth and pharynx,Prostate specific antigen measurement Prostate specific antigen test,Excision Removal,Corneal transplant,Procedures on spleen Spleen operation,Removal of ectopic pregnancy,Tracheostomy temporary and permanent",",Vitamin A,Hydrogen Peroxide Topical,Acyclovir,Epinephrine,Paroxetine Paxil,Clindamycin,Mecamylamine,Grepafloxacin Raxar,Malathion Topical,Gemtuzumab Mylotarg,Gadoteridol Prohance","60-74,45-59",male,other
273,Chronic kidney disease,Fatigue,35,Shortness of breath,25,Symptoms of the kidneys,21,Peripheral edema,13,Feeling cold,2,Unusual color or odor to urine,"2""",,,,,,,,,,,,," , ,Chronic kidney disease (CKD), also known as chronic renal disease, is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally unwell and experiencing a reduced appetite. Often, chronic kidney disease is diagnosed as a result of screening of people known to be at risk of kidney problems, such as those with high blood pressure or diabetes and those with a blood relative with chronic kidney disease. Chronic kidney disease may also be identified when it leads to one of its recognized complications, such as cardiovascular disease, anemia or pericarditis. , Source: Wikipedia,Patients with chronic kidney disease often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Urinalysis,Electrolytes panel,Lipid panel,Hemoglobin A1c measurement Hemoglobin a1c test,Electrocardiogram",",Darbepoetin Alfa Aranesp,Epoetin Alfa Procrit,Allopurinol,Nifedipine,Hydralazine,Calcitriol,Labetalol,Mycophenolate Mofetil Cellcept,Tacrolimus Prograf,Sodium Bicarbonate,Sodium Polystyrene Sulfonate Kayexalate,Colchicine,Sevelamer Renvela","75+,60-74",Unspecified,other
